City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
395,Presidente Medici,BR,73.65,broken clouds,-11.18,-61.9,Oliveira Palace Hotel
396,Amudat,UG,74.8,scattered clouds,1.95,34.95,Silent Night Hotel
397,Tabou,CI,76.87,light rain,4.42,-7.35,hotêl doufoulougou
398,Uige,AO,70.07,light rain,-7.61,15.06,Juliao Pereira
399,Buchanan,LR,77.0,broken clouds,5.88,-10.05,Kamaneahn Hotel Inc
403,Nong Chik,TH,85.6,light rain,6.84,101.18,Bakkahland Farm and Resort
404,Turan,VN,78.8,broken clouds,16.07,108.22,Grand Mercure Danang
405,Wanning,CN,75.99,broken clouds,18.8,110.4,Paradise Hotel
410,Biak,ID,87.42,heavy intensity rain,-0.91,122.88,Kost Ariz
412,Souillac,MU,80.6,shower rain,-20.52,57.52,Bils' Villa
413,Sakete,BJ,77.0,few clouds,6.74,2.66,Maître Marabout Babayigbe
415,Tecoanapa,MX,77.05,scattered clouds,16.52,-98.75,Hotel Manglares
421,Demba,CD,74.66,broken clouds,-5.51,22.27,
422,Bambanglipuro,ID,86.61,light rain,-7.95,110.28,Puri Brata
425,Tura,IN,82.98,clear sky,25.52,90.22,Hotel RIKMAN Continental
429,Nosy Varika,MG,80.08,scattered clouds,-20.58,48.53,Hotel Volazara
430,Riyadh,SA,75.2,clear sky,24.69,46.72,InterContinental Riyadh
433,Aswan,EG,67.78,clear sky,24.09,32.91,Nuba Nile
434,Broken Hill,AU,82.4,overcast clouds,-31.95,141.43,Daydream Motel & Cottages
437,Am Timan,TD,77.47,broken clouds,11.03,20.28,Palais du chef Canton Salamt
438,Gabu,GW,69.78,clear sky,12.28,-14.22,Hotel karsa
439,Takoradi,GH,77.59,clear sky,4.88,-1.76,Raybow International Hotel
446,Gat,IL,68.0,few clouds,31.61,34.76,OlusHome
448,Mecca,SA,82.62,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
449,Kingaroy,AU,82.99,light rain,-26.53,151.83,Ascot Lodge Motel Kingaroy
450,Boali,CF,69.8,fog,4.8,18.13,Auberge des Cocotiers Boali poste
