City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Udachnyy,RU,2020-11-09 02:57:07,66.42,112.4,1.4,84,90,6.71
70,North Bend,US,2020-11-09 02:57:07,43.41,-124.22,42.8,60,1,6.93
71,Fairbanks,US,2020-11-09 02:53:15,64.84,-147.72,33.8,86,90,4.7
72,Bathsheba,BB,2020-11-09 02:57:07,13.22,-59.52,80.6,83,75,14.99
73,Saldanha,ZA,2020-11-09 02:57:08,-33.01,17.94,50.0,81,0,4.7
74,Avarua,CK,2020-11-09 02:57:08,-21.21,-159.78,78.8,69,84,12.5
75,Chokurdakh,RU,2020-11-09 02:57:08,70.63,147.92,-12.73,91,99,3.87
76,Mar Del Plata,AR,2020-11-09 02:54:12,-38.0,-57.56,62.01,93,90,5.82
77,College,US,2020-11-09 02:57:09,64.86,-147.8,33.8,86,90,4.7
78,Saskylakh,RU,2020-11-09 02:57:09,71.92,114.08,-4.85,86,93,16.69
79,Mataura,NZ,2020-11-09 02:57:09,-46.19,168.86,57.99,67,98,5.99
80,Nemuro,JP,2020-11-09 02:57:09,43.32,145.57,41.0,75,75,6.93
81,Sioux Lookout,CA,2020-11-09 02:57:09,50.1,-91.92,55.4,71,5,8.05
82,San Cristobal,VE,2020-11-09 02:57:10,7.77,-72.22,66.94,91,92,0.92
83,Necochea,AR,2020-11-09 02:57:10,-38.55,-58.74,54.81,92,25,9.48
84,Chuy,UY,2020-11-09 02:57:10,-33.7,-53.46,58.39,90,57,6.02
85,Deputatskiy,RU,2020-11-09 02:57:10,69.3,139.9,-15.7,90,34,3.29
86,Buala,SB,2020-11-09 02:57:11,-8.14,159.59,87.22,60,11,3.6
87,Atuona,PF,2020-11-09 02:57:11,-9.8,-139.03,77.67,63,55,13.4
88,Wewak,PG,2020-11-09 02:57:11,-3.55,143.63,85.46,66,99,5.86
89,Provideniya,RU,2020-11-09 02:57:11,64.38,-173.3,33.8,86,90,11.18
90,Jamestown,US,2020-11-09 02:56:32,42.1,-79.24,57.2,50,1,3.33
91,Tanout,NE,2020-11-09 02:57:11,14.97,8.89,67.51,31,0,10.07
92,Papar,MY,2020-11-09 02:57:12,5.73,115.93,86.0,79,20,9.17
93,Port Lincoln,AU,2020-11-09 02:57:12,-34.73,135.87,75.99,34,22,15.28
94,Hit,IQ,2020-11-09 02:57:12,33.64,42.83,65.57,53,65,5.82
95,Burley,US,2020-11-09 02:54:40,42.54,-113.79,30.2,68,1,6.93
96,Thompson,CA,2020-11-09 02:54:13,55.74,-97.86,10.4,85,90,10.29
97,Fukue,JP,2020-11-09 02:57:13,32.69,128.84,59.0,51,20,18.34
98,Half Moon Bay,US,2020-11-09 02:54:58,37.46,-122.43,50.0,71,20,9.17
99,Zaysan,KZ,2020-11-09 02:57:13,47.47,84.87,51.13,38,100,27.72
100,Hithadhoo,MV,2020-11-09 02:57:13,-0.6,73.08,84.09,71,33,8.86
101,Bredasdorp,ZA,2020-11-09 02:57:13,-34.53,20.04,50.0,76,57,6.93
102,Kashi,CN,2020-11-09 02:57:14,39.45,75.98,41.0,32,20,11.18
103,Namibe,AO,2020-11-09 02:57:14,-15.2,12.15,69.03,75,47,9.13
104,Yulara,AU,2020-11-09 02:57:14,-25.24,130.99,95.0,13,0,11.41
105,Los Llanos De Aridane,ES,2020-11-09 02:57:14,28.66,-17.92,66.2,68,20,8.05
106,Shimoda,JP,2020-11-09 02:57:01,34.67,138.95,60.8,55,40,9.17
107,Georgetown,MY,2020-11-09 02:57:15,5.41,100.34,82.4,88,40,5.82
108,Vila Franca Do Campo,PT,2020-11-09 02:57:15,37.72,-25.43,57.2,82,75,4.7
109,Qaanaaq,GL,2020-11-09 02:57:15,77.48,-69.36,-8.14,70,0,8.08
110,Bilibino,RU,2020-11-09 02:57:15,68.05,166.44,-1.37,90,94,1.12
111,Malya,TZ,2020-11-09 02:57:16,-2.98,33.52,69.22,68,99,5.84
112,Cherskiy,RU,2020-11-09 02:57:16,68.75,161.3,2.66,94,97,2.77
113,Novosheshminsk,RU,2020-11-09 02:57:16,55.07,51.23,32.79,91,76,13.65
