City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
414,Awbari,LY,26.59,12.78,53.91,58,0,5.55,clear sky
415,Tecoanapa,MX,16.52,-98.75,77.05,81,26,4.18,scattered clouds
416,Linares,CL,-35.85,-71.6,51.06,93,46,4.74,scattered clouds
417,Talnakh,RU,69.49,88.4,-2.2,84,46,11.18,scattered clouds
418,Bayan,CN,46.08,127.4,48.0,45,85,18.03,overcast clouds
419,Kuusamo,FI,65.97,29.18,30.2,100,90,2.24,overcast clouds
420,Sobolevo,RU,54.43,31.9,30.85,97,99,3.04,light snow
421,Demba,CD,-5.51,22.27,74.66,80,82,2.35,broken clouds
422,Bambanglipuro,ID,-7.95,110.28,86.61,68,23,12.62,light rain
423,Luena,AO,-11.78,19.92,64.04,95,100,1.79,light rain
424,Onega,RU,63.91,38.14,34.74,89,100,11.32,overcast clouds
425,Tura,IN,25.52,90.22,82.98,49,0,1.12,clear sky
426,Cangas,ES,42.26,-8.78,60.01,87,20,8.05,few clouds
427,Linxia,CN,35.6,103.21,54.05,48,0,4.27,clear sky
428,Hailin,CN,44.58,129.42,50.99,61,84,20.29,broken clouds
429,Nosy Varika,MG,-20.58,48.53,80.08,64,43,10.07,scattered clouds
430,Riyadh,SA,24.69,46.72,75.2,33,0,4.7,clear sky
431,Lulea,SE,65.58,22.15,33.8,100,75,2.24,light intensity drizzle
432,Oroville,US,39.51,-121.56,46.4,52,1,3.0,clear sky
433,Aswan,EG,24.09,32.91,67.78,36,0,8.12,clear sky
434,Broken Hill,AU,-31.95,141.43,82.4,21,89,17.22,overcast clouds
435,Chontaul,RU,43.3,46.86,39.15,68,0,1.52,clear sky
436,Weihe,CN,33.0,105.32,58.84,65,98,5.3,light rain
437,Am Timan,TD,11.03,20.28,77.47,31,54,7.58,broken clouds
438,Gabu,GW,12.28,-14.22,69.78,37,0,3.13,clear sky
439,Takoradi,GH,4.88,-1.76,77.59,83,6,2.48,clear sky
440,Zaysan,KZ,47.47,84.87,48.4,47,100,5.73,light rain
441,Dunedin,NZ,-45.87,170.5,61.0,71,73,7.78,broken clouds
442,Mehamn,NO,71.04,27.85,37.4,59,0,12.75,clear sky
443,Tanete,ID,-3.94,119.78,98.38,37,10,8.25,clear sky
444,Tromso,NO,69.65,18.96,39.0,93,0,26.4,clear sky
445,Lentekhi,GE,42.79,42.73,46.04,51,0,1.92,clear sky
446,Gat,IL,31.61,34.76,68.0,77,11,4.05,few clouds
447,Palmer,US,42.16,-72.33,64.4,100,90,5.82,overcast clouds
448,Mecca,SA,21.43,39.83,82.62,47,0,5.08,clear sky
449,Kingaroy,AU,-26.53,151.83,82.99,30,36,6.93,light rain
450,Boali,CF,4.8,18.13,69.8,100,75,1.39,fog
451,Apiai,BR,-24.51,-48.84,59.76,100,100,0.18,overcast clouds
452,Karasjok,NO,69.47,25.51,26.6,79,0,11.41,clear sky
453,Mnogovershinnyy,RU,53.94,139.92,22.48,94,65,2.39,broken clouds
454,Kodinsk,RU,58.69,99.18,33.73,84,69,14.72,broken clouds
455,Nara,JP,34.69,135.8,70.0,48,20,5.82,few clouds
456,Guanay,BO,-15.5,-67.88,70.07,85,79,1.36,broken clouds
457,Ishinomaki,JP,38.42,141.3,51.8,43,20,6.93,few clouds
458,Lar,IN,26.2,83.97,87.22,32,0,8.23,clear sky
459,Along,IN,28.17,94.77,82.47,31,0,1.36,clear sky
460,Pavlogradka,RU,54.2,73.56,27.73,88,86,2.84,overcast clouds
461,Koping,SE,59.51,15.99,42.01,86,100,3.36,overcast clouds
462,Lavrentiya,RU,65.58,-171.0,31.98,98,100,15.64,overcast clouds
463,Copiapo,CL,-27.37,-70.33,57.2,76,5,2.24,clear sky
464,Atar,MR,20.52,-13.05,76.37,19,3,4.43,clear sky
465,Nioki,CD,-2.72,17.68,76.48,84,25,1.77,scattered clouds
466,Marienburg,PL,54.04,19.03,41.0,89,100,6.78,overcast clouds
467,Sitka,US,57.05,-135.33,42.8,70,75,16.11,broken clouds
468,Houma,US,29.6,-90.72,72.0,94,1,8.05,clear sky
469,Iquitos,PE,-3.75,-73.25,73.4,94,90,4.7,light rain
470,Tadine,NC,-21.55,167.88,74.88,81,28,14.38,light rain
471,Ouadda,CF,8.08,22.4,73.13,43,32,6.02,scattered clouds
472,Port Hedland,AU,-20.32,118.57,100.4,19,6,23.04,clear sky
473,Sangar,RU,63.92,127.47,0.73,91,100,7.54,overcast clouds
474,Kuryk,KZ,43.2,51.65,41.31,65,77,3.78,broken clouds
475,Bosaso,SO,11.28,49.18,80.96,56,15,9.06,few clouds
476,Hata,IN,26.75,83.74,86.72,32,0,10.87,clear sky
477,Buala,SB,-8.14,159.59,83.89,75,36,6.46,scattered clouds
478,Jaciara,BR,-15.97,-54.97,72.34,90,100,2.8,moderate rain
479,Kandrian,PG,-6.22,149.55,82.09,79,72,5.39,light rain
480,Itaituba,BR,-4.28,-55.98,75.7,82,45,2.28,scattered clouds
481,Manokwari,ID,-0.87,134.08,83.68,76,72,5.46,moderate rain
